Region Code,TEA Region,County Number,County Name,sy_end,demo_cat_type,economic_status,enrolled_8th,graduated,total_enrolled,total_degrees,graduated_percent,total_enrolled_percent,total_degrees_percent
9,WICHITA FALLS,244,WILBARGER,2013,econ_status,Economically Disadvantaged,88,59,37,13,67%,42%,14%
9,WICHITA FALLS,244,WILBARGER,2013,econ_status,Not Economically Disadvantaged,33,28,22,17,84%,66%,51%
9,WICHITA FALLS,252,YOUNG,2013,econ_status,Economically Disadvantaged,138,114,47,24,82%,34%,17%
9,WICHITA FALLS,252,YOUNG,2013,econ_status,Not Economically Disadvantaged,121,115,86,47,95%,71%,38%
10,RICHARDSON,43,COLLIN,2013,econ_status,Economically Disadvantaged,2844,2343,1312,587,82%,46%,20%
10,RICHARDSON,43,COLLIN,2013,econ_status,Not Economically Disadvantaged,10699,9475,6906,4137,88%,64%,38%
10,RICHARDSON,57,DALLAS,2013,econ_status,Economically Disadvantaged,23166,18452,9809,3361,79%,42%,14%
10,RICHARDSON,57,DALLAS,2013,econ_status,Not Economically Disadvantaged,9136,7891,5639,2983,86%,61%,32%
10,RICHARDSON,70,ELLIS,2013,econ_status,Economically Disadvantaged,1119,903,488,193,80%,43%,17%
10,RICHARDSON,70,ELLIS,2013,econ_status,Not Economically Disadvantaged,1343,1187,924,542,88%,68%,40%
10,RICHARDSON,74,FANNIN,2013,econ_status,Economically Disadvantaged,129,101,49,20,78%,37%,15%
10,RICHARDSON,74,FANNIN,2013,econ_status,Not Economically Disadvantaged,140,127,96,59,90%,68%,42%
10,RICHARDSON,91,GRAYSON,2013,econ_status,Economically Disadvantaged,616,478,262,102,77%,42%,16%
10,RICHARDSON,91,GRAYSON,2013,econ_status,Not Economically Disadvantaged,773,678,496,274,87%,64%,35%
10,RICHARDSON,116,HUNT,2013,econ_status,Economically Disadvantaged,477,392,155,55,82%,32%,11%
10,RICHARDSON,116,HUNT,2013,econ_status,Not Economically Disadvantaged,440,382,268,152,86%,60%,34%
10,RICHARDSON,129,KAUFMAN,2013,econ_status,Economically Disadvantaged,880,666,348,142,75%,39%,16%
10,RICHARDSON,129,KAUFMAN,2013,econ_status,Not Economically Disadvantaged,1005,880,602,338,87%,59%,33%
10,RICHARDSON,199,ROCKWALL,2013,econ_status,Economically Disadvantaged,461,369,222,86,80%,48%,18%
10,RICHARDSON,199,ROCKWALL,2013,econ_status,Not Economically Disadvantaged,1076,930,717,432,86%,66%,40%
10,RICHARDSON,234,VAN ZANDT,2013,econ_status,Economically Disadvantaged,176,140,64,19,79%,36%,10%
10,RICHARDSON,234,VAN ZANDT,2013,econ_status,Not Economically Disadvantaged,191,173,112,68,90%,58%,35%
11,FORT WORTH,49,COOKE,2013,econ_status,Economically Disadvantaged,152,119,42,14,78%,27%,9%
11,FORT WORTH,49,COOKE,2013,econ_status,Not Economically Disadvantaged,197,175,128,72,88%,64%,36%
11,FORT WORTH,61,DENTON,2013,econ_status,Economically Disadvantaged,2642,2113,1029,385,79%,38%,14%
11,FORT WORTH,61,DENTON,2013,econ_status,Not Economically Disadvantaged,6167,5473,3737,2097,88%,60%,34%
11,FORT WORTH,72,ERATH,2013,econ_status,Economically Disadvantaged,334,205,118,49,61%,35%,14%
11,FORT WORTH,72,ERATH,2013,econ_status,Not Economically Disadvantaged,192,175,134,84,91%,69%,43%
11,FORT WORTH,111,HOOD,2013,econ_status,Economically Disadvantaged,256,198,82,33,77%,32%,12%
11,FORT WORTH,111,HOOD,2013,econ_status,Not Economically Disadvantaged,294,270,176,84,91%,59%,28%
11,FORT WORTH,126,JOHNSON,2013,econ_status,Economically Disadvantaged,1131,893,424,149,78%,37%,13%
11,FORT WORTH,126,JOHNSON,2013,econ_status,Not Economically Disadvantaged,1207,1084,741,394,89%,61%,32%
11,FORT WORTH,182,PALO PINTO,2013,econ_status,Economically Disadvantaged,163,116,43,17,71%,26%,10%
11,FORT WORTH,182,PALO PINTO,2013,econ_status,Not Economically Disadvantaged,112,94,59,32,83%,52%,28%
11,FORT WORTH,184,PARKER,2013,econ_status,Economically Disadvantaged,373,280,134,48,75%,35%,12%
11,FORT WORTH,184,PARKER,2013,econ_status,Not Economically Disadvantaged,1005,874,656,357,86%,65%,35%
11,FORT WORTH,213,SOMERVELL,2013,econ_status,Economically Disadvantaged,57,52,21,10,91%,36%,17%
11,FORT WORTH,213,SOMERVELL,2013,econ_status,Not Economically Disadvantaged,63,54,39,28,85%,61%,44%
11,FORT WORTH,220,TARRANT,2013,econ_status,Economically Disadvantaged,13653,10523,5610,2090,77%,41%,15%
11,FORT WORTH,220,TARRANT,2013,econ_status,Not Economically Disadvantaged,12197,10550,7548,4062,86%,61%,33%
11,FORT WORTH,249,WISE,2013,econ_status,Economically Disadvantaged,221,172,79,34,77%,35%,15%
11,FORT WORTH,249,WISE,2013,econ_status,Not Economically Disadvantaged,350,310,227,116,88%,64%,33%
12,WACO,14,BELL,2013,econ_status,Economically Disadvantaged,2272,1575,825,237,69%,36%,10%
12,WACO,14,BELL,2013,econ_status,Not Economically Disadvantaged,2139,1669,1303,659,78%,60%,30%
12,WACO,18,BOSQUE,2013,econ_status,Economically Disadvantaged,73,55,33,16,75%,45%,21%
12,WACO,18,BOSQUE,2013,econ_status,Not Economically Disadvantaged,89,80,63,35,89%,70%,39%
12,WACO,50,CORYELL,2013,econ_status,Economically Disadvantaged,387,283,139,48,73%,35%,12%
12,WACO,50,CORYELL,2013,econ_status,Not Economically Disadvantaged,388,327,247,116,84%,63%,29%
12,WACO,73,FALLS,2013,econ_status,Economically Disadvantaged,74,69,43,15,93%,58%,20%
