sy_end,Region Code,TEA Region,County Number,County Name,district_id,district_name,demo_cat_type,enrolled_8th,graduated,total_enrolled,total_degrees,has_any_masked,gender,economic_status,ethnicity,graduated_percent,total_enrolled_percent,total_degrees_percent
2013,14.0,ABILENE,,,,,econ_status,1850,1215,647,250,,,Economically Disadvantaged,,65.67567567567568%,34.97297297297297%,13.513513513513514%
2013,14.0,ABILENE,,,,,ethnicity,2205,1634,1123,654,,,,White,74.10430839002268%,50.929705215419496%,29.65986394557823%
2013,14.0,ABILENE,,,,,gender,1964,1452,1030,566,,Female,,,73.93075356415478%,52.443991853360494%,28.818737270875765%
2013,14.0,ABILENE,,,,,ethnicity,1179,871,531,232,,,,Hispanic,73.87616624257845%,45.038167938931295%,19.67769296013571%
2013,14.0,ABILENE,,,,,ethnicity,177,127,112,64,,,,Others,71.75141242937853%,63.2768361581921%,36.15819209039548%
2013,14.0,ABILENE,,,,,gender,1908,1385,864,418,,Male,,,72.58909853249476%,45.28301886792453%,21.90775681341719%
2013,15.0,SAN ANGELO,,,,,ethnicity,38,27,12,5,,,,African American,71.05263157894737%,31.57894736842105%,13.157894736842104%
2013,15.0,SAN ANGELO,,,,,econ_status,1429,1288,985,577,,,Not Economically Disadvantaged,,90.13296011196641%,68.9293212036389%,40.3778866340098%
2013,15.0,SAN ANGELO,,,,,econ_status,1678,1274,617,260,,,Economically Disadvantaged,,75.92371871275327%,36.7699642431466%,15.494636471990464%
2013,15.0,SAN ANGELO,,,,,ethnicity,30,25,14,9,,,,Others,83.33333333333334%,46.666666666666664%,30.0%
2013,15.0,SAN ANGELO,,,,,gender,1689,1367,781,369,,Male,,,80.93546477205447%,46.24037892243931%,21.847246891651864%
2013,15.0,SAN ANGELO,,,,,gender,1602,1348,901,502,,Female,,,84.14481897627965%,56.24219725343321%,31.335830212234704%
2013,15.0,SAN ANGELO,,,,,ethnicity,1300,1100,765,435,,,,White,84.61538461538461%,58.84615384615385%,33.46153846153846%
2013,15.0,SAN ANGELO,,,,,total,3291,2715,1682,871,,,,,82.49772105742935%,51.10908538438165%,26.46611972044971%
2013,15.0,SAN ANGELO,,,,,ethnicity,1728,1393,790,381,,,,Hispanic,80.61342592592592%,45.717592592592595%,22.04861111111111%
2013,16.0,AMARILLO,,,,,econ_status,3051,2353,1238,520,,,Economically Disadvantaged,,77.1222549983612%,40.57686004588659%,17.043592264831204%
2013,16.0,AMARILLO,,,,,econ_status,2567,2288,1737,1010,,,Not Economically Disadvantaged,,89.13128165173354%,67.66653681340085%,39.34553954031944%
2013,16.0,AMARILLO,,,,,ethnicity,227,163,122,56,,,,Others,71.80616740088107%,53.74449339207048%,24.669603524229075%
