CAMPUS,CAMPNAME,DISTRICT,DISTNAME,REGION,REGNNAME,COUNTY,CNTYNAME,GRDTYPE,GRDSPAN,PAIRCAMP,PAIRNAME,CFLALTED,CFLCHART
"'012901001","SEYMOUR H S","'012901","SEYMOUR ISD","'09","REGION 09: WICHITA FALLS","'012","BAYLOR","S","'09 - 12"," "," ","N","N"
"'012901042","SEYMOUR MIDDLE","'012901","SEYMOUR ISD","'09","REGION 09: WICHITA FALLS","'012","BAYLOR","M","'05 - 08"," "," ","N","N"
"'012901101","SEYMOUR EL","'012901","SEYMOUR ISD","'09","REGION 09: WICHITA FALLS","'012","BAYLOR","E","'EE - 04"," "," ","N","N"
"'013801101","ST MARY'S ACADEMY CHARTER SCHOOL","'013801","ST MARY'S ACADEMY CHARTER SCHOOL","'02","REGION 02: CORPUS CHRISTI","'013","BEE","E","'KG - 06"," "," ","N","Y"
"'013901001","A C JONES H S","'013901","BEEVILLE ISD","'02","REGION 02: CORPUS CHRISTI","'013","BEE","S","'09 - 12"," "," ","N","N"
"'013901041","MORENO J H","'013901","BEEVILLE ISD","'02","REGION 02: CORPUS CHRISTI","'013","BEE","M","'06 - 08"," "," ","N","N"
"'013901101","R A HALL EL","'013901","BEEVILLE ISD","'02","REGION 02: CORPUS CHRISTI","'013","BEE","E","'01 - 05"," "," ","N","N"
"'013901102","FADDEN-MCKEOWN-CHAMBLISS EL","'013901","BEEVILLE ISD","'02","REGION 02: CORPUS CHRISTI","'013","BEE","E","'01 - 05"," "," ","N","N"
"'013901105","HAMPTON-MORENO-DUGAT EARLY CHILDHOOD CENTER","'013901","BEEVILLE ISD","'02","REGION 02: CORPUS CHRISTI","'013","BEE","E","'EE - KG","'013901101","R A HALL EL","N","N"
"'013902101","PAWNEE EL / J H/HS","'013902","PAWNEE ISD","'02","REGION 02: CORPUS CHRISTI","'013","BEE","B","'PK - 10"," "," ","N","N"
