COUNTY,REGION,GRDSPAN,PAIRCAMP,CAMPUS,DISTRICT,CAMPNAME,DISTNAME,GRDTYPE,CFLALTED,CNTYNAME,CFLCHART,PAIRNAME
013,02,'09 - 12, ,013905001,013905,SKIDMORE-TYNAN H S,SKIDMORE-TYNAN ISD,S,N,BEE,N, 
013,02,'06 - 08, ,013905041,013905,SKIDMORE-TYNAN J H,SKIDMORE-TYNAN ISD,M,N,BEE,N, 
013,02,'PK - 05, ,013905101,013905,SKIDMORE-TYNAN EL,SKIDMORE-TYNAN ISD,E,N,BEE,N, 
014,20,'09 - 12, ,014801001,014801,RICHARD MILBURN ALTER H S (KILLEEN),RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),S,Y,BELL,Y, 
014,20,'09 - 12, ,014801002,014801,RICHARD MILBURN ACADEMY ODESSA,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),S,Y,BELL,Y, 
014,20,'09 - 12, ,014801004,014801,RICHARD MILBURN ACADEMY LUBBOCK,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),S,Y,BELL,Y, 
014,20,'09 - 12, ,014801005,014801,RICHARD MILBURN ACADEMY HOUSTON (SUBURBAN),RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),S,Y,BELL,Y, 
014,20,'09 - 12, ,014801006,014801,RICHARD MILBURN ACADEMY FORT WORTH,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),S,Y,BELL,Y, 
014,20,'09 - 12, ,014801007,014801,RICHARD MILBURN ACADEMY CORPUS CHRISTI,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),S,Y,BELL,Y, 
014,20,'09 - 12, ,014801008,014801,RICHARD MILBURN ACADEMY AMARILLO,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),S,Y,BELL,Y, 
014,20,'09 - 12, ,014801009,014801,RICHARD MILBURN ACADEMY PASADENA,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),S,Y,BELL,Y, 
014,20,'09 - 12, ,014801010,014801,RICHARD MILBURN ACADEMY MIDLAND SOUTH,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),S,Y,BELL,Y, 
014,12,'PK - 05, ,014803002,014803,GEORGETOWN CHARTER ACADEMY,PRIORITY CHARTER SCHOOLS,E,N,BELL,Y, 
014,12,'PK - 12, ,014803003,014803,COVE CHARTER ACADEMY,PRIORITY CHARTER SCHOOLS,B,N,BELL,Y, 
014,12,'PK - 12, ,014803004,014803,CEDAR PARK CHARTER ACADEMY,PRIORITY CHARTER SCHOOLS,B,N,BELL,Y, 
014,12,'PK - 12, ,014803101,014803,TEMPLE CHARTER ACADEMY,PRIORITY CHARTER SCHOOLS,B,N,BELL,Y, 
014,12,'03 - 11, ,014804002,014804,NEW HORIZONS,ORENDA CHARTER SCHOOL,B,N,BELL,Y, 
014,12,'09 - 12, ,014804005,014804,GATEWAY TECH H S,ORENDA CHARTER SCHOOL,S,Y,BELL,Y, 
014,12,'KG - 12, ,014804006,014804,GATEWAY COLLEGE PREPARATORY SCHOOL,ORENDA CHARTER SCHOOL,B,N,BELL,Y, 
014,12,'KG - 06, ,014804007,014804,NOLAN CREEK SCHOOL,ORENDA CHARTER SCHOOL,E,N,BELL,Y, 
014,12,'KG - 12, ,014804008,014804,KINGSLAND SCHOOL,ORENDA CHARTER SCHOOL,B,N,BELL,Y, 
014,12,'09 - 12, ,014901001,014901,ACADEMY H S,ACADEMY ISD,S,N,BELL,N, 
014,12,'06 - 08, ,014901041,014901,ACADEMY J H,ACADEMY ISD,M,N,BELL,N, 
014,12,'01 - 05, ,014901101,014901,ACADEMY EL,ACADEMY ISD,E,N,BELL,N, 
014,12,'EE - KG,'014901101,014901102,014901,ACADEMY EARLY CHILDHOOD CENTER,ACADEMY ISD,E,N,BELL,N,ACADEMY EL
014,13,'EE - 12, ,014902001,014902,BARTLETT SCHOOLS,BARTLETT ISD,B,N,BELL,N, 
014,12,'09 - 12, ,014903001,014903,BELTON H S,BELTON ISD,S,N,BELL,N, 
014,12,'09 - 12, ,014903010,014903,LAKE BELTON H S,BELTON ISD,S,N,BELL,N, 
014,12,'09 - 10, ,014903025,014903,BELTON NEW TECH H S AT WASKOW,BELTON ISD,S,N,BELL,N, 
014,12,'06 - 08, ,014903043,014903,LAKE BELTON MIDDLE,BELTON ISD,M,N,BELL,N, 
014,12,'06 - 08, ,014903044,014903,SOUTH BELTON MIDDLE,BELTON ISD,M,N,BELL,N, 
014,12,'06 - 08, ,014903045,014903,NORTH BELTON MIDDLE,BELTON ISD,M,N,BELL,N, 
014,12,'06 - 08, ,014903046,014903,BELTON MIDDLE,BELTON ISD,M,N,BELL,N, 
014,12,'KG - 05, ,014903102,014903,LEON HEIGHTS EL,BELTON ISD,E,N,BELL,N, 
014,12,'KG - 05, ,014903103,014903,MILLER HEIGHTS EL,BELTON ISD,E,N,BELL,N, 
014,12,'KG - 05, ,014903104,014903,SOUTHWEST EL,BELTON ISD,E,N,BELL,N, 
014,12,'KG - 05, ,014903108,014903,LAKEWOOD EL,BELTON ISD,E,N,BELL,N, 
014,12,'KG - 05, ,014903109,014903,SPARTA EL,BELTON ISD,E,N,BELL,N, 
014,12,'KG - 05, ,014903111,014903,JOE M PIRTLE EL,BELTON ISD,E,N,BELL,N, 
014,12,'KG - 05, ,014903116,014903,TARVER EL,BELTON ISD,E,N,BELL,N, 
014,12,'KG - 05, ,014903117,014903,HIGH POINT EL,BELTON ISD,E,N,BELL,N, 
014,12,'KG - 05, ,014903118,014903,CHISHOLM TRAIL EL,BELTON ISD,E,N,BELL,N, 
014,12,'EE - PK,'014903000,014903119,014903,BELTON EARLY CHILDHOOD SCHOOL,BELTON ISD,E,N,BELL,N,BELTON ISD
014,12,'KG - 05, ,014903120,014903,CHARTER OAK EL,BELTON ISD,E,N,BELL,N, 
014,12,'09 - 12, ,014905001,014905,HOLLAND H S,HOLLAND ISD,S,N,BELL,N, 
014,12,'06 - 08, ,014905041,014905,HOLLAND MIDDLE,HOLLAND ISD,M,N,BELL,N, 
014,12,'EE - 05, ,014905101,014905,HOLLAND EL,HOLLAND ISD,E,N,BELL,N, 
014,12,'09 - 12, ,014906001,014906,KILLEEN H S,KILLEEN ISD,S,N,BELL,N, 
014,12,'09 - 12, ,014906002,014906,C E ELLISON H S,KILLEEN ISD,S,N,BELL,N, 
014,12,'09 - 12, ,014906004,014906,GATEWAY H S,KILLEEN ISD,S,N,BELL,N, 
014,12,'09 - 12, ,014906006,014906,PATHWAYS ACADEMIC CAMPUS,KILLEEN ISD,S,Y,BELL,N, 
