DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETSTEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPETSTEP,DPE0312P,DD2S,DDALLS
"015836","ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY","015","BEXAR","20","REGION 20: SAN ANTONIO","A","A","A","A","C","A",92,90,79,92,57,76,500,36,0,0,0,340,11.4,7.2,0,0,0,68,90,92
"015838","COMPASS ROSE PUBLIC SCHOOLS","015","BEXAR","20","REGION 20: SAN ANTONIO","F","F","F","F","F","F",54,59,56,56,641,2617,3599,476,0,0,0,2429,17.8,13.2,0,0,0,67.5,59,58
"015839","PROMESA ACADEMY CHARTER SCHOOL","015","BEXAR","20","REGION 20: SAN ANTONIO","F","F","F","F","F","C",51,58,49,71,20,235,421,107,0,0,0,178,4.8,25.4,0,0,0,42.3,58,59
"015840","SAN ANTONIO PREPARATORY SCHOOLS","015","BEXAR","20","REGION 20: SAN ANTONIO","D","F","D","F","D","D",57,59,60,62,2,101,139,29,0,0,0,139,1.4,20.9,0,0,0,100,60,61
"015841","THE GATHERING PLACE","015","BEXAR","20","REGION 20: SAN ANTONIO","F","F","F","F","F","C",48,56,47,71,18,424,618,110,0,0,0,281,2.9,17.8,0,0,0,45.5,56,59
"015842","ROYAL PUBLIC SCHOOLS","015","BEXAR","20","REGION 20: SAN ANTONIO","F","F","F","F","F","F",50,54,52,30,36,309,343,56,0,0,0,180,10.5,16.3,0,0,0,52.5,54,47
"015843","PRELUDE PREPARATORY CHARTER SCHOOL","015","BEXAR","20","REGION 20: SAN ANTONIO","C","D","C","C","C","D",67,78,74,63,20,127,138,25,0,0,0,25,14.5,18.1,0,0,0,18.1,78,74
"015844","ESSENCE PREPARATORY CHARTER SCHOOL","015","BEXAR","20","REGION 20: SAN ANTONIO","D","F","D","D","F","D",50,66,51,68,0,142,180,8,0,0,0,91,0,4.4,0,0,0,50.6,66,67
"015901","ALAMO HEIGHTS ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","B","B","C","C","C","B",88,78,74,84,391,983,4678,603,0,0,0,3654,8.4,12.9,0,0,0,78.1,78,87
"015904","HARLANDALE ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","D","D","C","D","C","D",65,64,71,63,2392,10226,11781,1593,0,400,0,8717,20.3,13.5,3.4,0,0,74,71,69
"015905","EDGEWOOD ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","D","D","D","D","D","D",62,63,67,62,1969,7373,7916,1161,0,295,77,5530,24.9,14.7,3.7,1,0,69.9,67,66
"015906","RANDOLPH FIELD ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","A","A","B","B","D","B",91,84,66,87,8,120,1490,174,0,0,0,1166,0.5,11.7,0,0,0,78.3,84,90
"015907","SAN ANTONIO ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","D","D","D","D","D","D",65,66,69,68,11054,39625,44635,7276,0,985,653,30962,24.8,16.3,2.2,1.5,0,69.4,69,69
