CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN
13901105,13901,HAMPTON-MORENO-DUGAT EARLY CHILDHO,13,BEEVILLE ISD,2,BEE,E,EE - KG,N,N,013901101,R A HALL EL,Hampton-Moreno-Dugat Early Childho
13902101,13902,PAWNEE EL / J H,13,PAWNEE ISD,2,BEE,E,PK - 08,N,N, , ,Pawnee El / Junior High
13903001,13903,PETTUS SECONDARY,13,PETTUS ISD,2,BEE,B,06 - 12,N,N, , ,Pettus Secondary
13903101,13903,PETTUS EL,13,PETTUS ISD,2,BEE,E,PK - 05,N,N, , ,Pettus Elementary School
13905001,13905,SKIDMORE-TYNAN H S,13,SKIDMORE-TYNAN ISD,2,BEE,S,09 - 12,N,N, , ,Skidmore-Tynan High School
13905041,13905,SKIDMORE-TYNAN J H,13,SKIDMORE-TYNAN ISD,2,BEE,M,06 - 08,N,N, , ,Skidmore-Tynan Junior High
13905101,13905,SKIDMORE-TYNAN EL,13,SKIDMORE-TYNAN ISD,2,BEE,E,KG - 05,N,N, , ,Skidmore-Tynan Elementary School
14801001,14801,RICHARD MILBURN ALTER H S (KILLEEN,14,RICHARD MILBURN ALTER HIGH SCHOOL,20,BELL,S,09 - 12,Y,Y, , ,Richard Milburn Alter H S (Killeen
14801002,14801,RICHARD MILBURN ACADEMY ODESSA,14,RICHARD MILBURN ALTER HIGH SCHOOL,20,BELL,S,09 - 12,Y,Y, , ,Richard Milburn Academy Odessa
14801004,14801,RICHARD MILBURN ACADEMY LUBBOCK,14,RICHARD MILBURN ALTER HIGH SCHOOL,20,BELL,S,09 - 12,Y,Y, , ,Richard Milburn Academy Lubbock
14801005,14801,RICHARD MILBURN ACADEMY HOUSTON (S,14,RICHARD MILBURN ALTER HIGH SCHOOL,20,BELL,S,09 - 12,Y,Y, , ,Richard Milburn Academy Houston (S
14801006,14801,RICHARD MILBURN ACADEMY FORT WORTH,14,RICHARD MILBURN ALTER HIGH SCHOOL,20,BELL,S,09 - 12,Y,Y, , ,Richard Milburn Academy Fort Worth
