CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN,CD1G,CD2G,CD3G,C_RATING
005902001,5902.0,HOLLIDAY H S,5.0,HOLLIDAY ISD,9.0,ARCHER,S,09 - 12,N,N, , ,Holliday High School,A,B,B,A
005902041,5902.0,HOLLIDAY MIDDLE,5.0,HOLLIDAY ISD,9.0,ARCHER,M,06 - 08,N,N, , ,Holliday Middle School,A,B,B,B
005902101,5902.0,HOLLIDAY EL,5.0,HOLLIDAY ISD,9.0,ARCHER,E,EE - 05,N,N, , ,Holliday Elementary School,C,B,C,C
005904001,5904.0,WINDTHORST H S,5.0,WINDTHORST ISD,9.0,ARCHER,S,09 - 12,N,N, , ,Windthorst High School,A,B,A,A
005904041,5904.0,WINDTHORST JH,5.0,WINDTHORST ISD,9.0,ARCHER,M,06 - 08,N,N, , ,Windthorst Jh,A,B,B,B
005904101,5904.0,WINDTHORST EL,5.0,WINDTHORST ISD,9.0,ARCHER,E,PK - 05,N,N, , ,Windthorst Elementary School,A,A,A,A
006902001,6902.0,CLAUDE SCHOOLS,6.0,CLAUDE ISD,16.0,ARMSTRONG,B,PK - 12,N,N, , ,Claude Schools,A,A,B,B
007901001,7901.0,CHARLOTTE H S,7.0,CHARLOTTE ISD,20.0,ATASCOSA,S,09 - 12,N,N, , ,Charlotte High School,B,B,B,B
007901041,7901.0,CHARLOTTE MIDDLE,7.0,CHARLOTTE ISD,20.0,ATASCOSA,M,06 - 08,N,N, , ,Charlotte Middle School,C,C,D,C
007901101,7901.0,CHARLOTTE EL,7.0,CHARLOTTE ISD,20.0,ATASCOSA,E,PK - 05,N,N, , ,Charlotte Elementary School,D,C,F,D
007902001,7902.0,JOURDANTON H S,7.0,JOURDANTON ISD,20.0,ATASCOSA,S,09 - 12,N,N, , ,Jourdanton High School,B,B,B,B
007902005,7902.0,ATASCOSA COUNTY JUVENILE JUSTICE C,7.0,JOURDANTON ISD,20.0,ATASCOSA,S,07 - 11,N,Y, , ,Atascosa County Juvenile Justice Center,Not Rated,Not Rated,Not Rated,Not Rated
007902006,7902.0,JOURDANTON DAEP,7.0,JOURDANTON ISD,20.0,ATASCOSA,B,06 - 10,N,N, , ,Jourdanton DAEP,Not Rated,Not Rated,Not Rated,Not Rated
007902041,7902.0,JOURDANTON J H,7.0,JOURDANTON ISD,20.0,ATASCOSA,M,06 - 08,N,N, , ,Jourdanton Junior High,B,B,B,B
007902101,7902.0,JOURDANTON EL,7.0,JOURDANTON ISD,20.0,ATASCOSA,E,EE - 05,N,N, , ,Jourdanton Elementary School,C,D,D,D
007904001,7904.0,LYTLE H S,7.0,LYTLE ISD,20.0,ATASCOSA,S,09 - 12,N,N, , ,Lytle High School,C,B,C,C
007904002,7904.0,LYTLE DAEP,7.0,LYTLE ISD,20.0,ATASCOSA,B,04 - 09,N,N, , ,Lytle DAEP,Not Rated,Not Rated,Not Rated,Not Rated
007904003,7904.0,JJAEP,7.0,LYTLE ISD,20.0,ATASCOSA,M,08 - 08,N,N, , ,JJAEP,Not Rated,Not Rated,Not Rated,Not Rated
007904041,7904.0,LYTLE J H,7.0,LYTLE ISD,20.0,ATASCOSA,M,06 - 08,N,N, , ,Lytle Junior High,D,D,F,D
007904101,7904.0,LYTLE EL,7.0,LYTLE ISD,20.0,ATASCOSA,E,02 - 05,N,N, , ,Lytle Elementary School,D,D,D,D
