id,name,Campus Number,Campus Name
15905125,STAFFORD CENTER,15905125,Stafford Center
15906001,RANDOLPH H S,15906001,Randolph High School
15906041,RANDOLPH MIDDLE,15906041,Randolph Middle School
15906101,RANDOLPH EL,15906101,Randolph Elementary School
15907001,BRACKENRIDGE H S,15907001,Brackenridge High School
15907002,BURBANK H S,15907002,Burbank High School
15907003,EDISON H S,15907003,Edison High School
15907004,FOX TECHNICAL H S,15907004,Fox Technical High School
15907005,HIGHLANDS H S,15907005,Highlands High School
15907006,HOUSTON H S,15907006,Houston High School
15907007,JEFFERSON H S,15907007,Jefferson High School
15907008,LANIER H S,15907008,Lanier High School
15907014,NAVARRO ACADEMY,15907014,Navarro Academy
15907020,JJA,15907020,JJAEP
15907022,TRAVIS EARLY COLLEGE H S,15907022,Travis Early College High School
15907023,YOUNG WOMEN'S LEADERSHIP ACADEMY,15907023,Young Women's Leadership Academy
15907024,COOPER ACADEMY,15907024,Cooper Academy
