CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLALTED,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING,CAD_PROGRESS,CAD_GAP,CAD_READ,CAD_MATH,CAD_SCIE,CAD_SOCI,CAD_POST
"011902001","011902","ELGIN H S","011","ELGIN ISD","13","BASTROP","S","09 - 12","N","N"," "," ","M","0","0","0","0","0","0","0"
"011902004","011902","PHOENIX H S","011","ELGIN ISD","13","BASTROP","S","09 - 12","Y","N"," "," ","A"," "," "," "," "," "," "," "
"011902041","011902","ELGIN MIDDLE","011","ELGIN ISD","13","BASTROP","M","06 - 08","N","N"," "," ","M","0","0","0","0","1","0","0"
"011902101","011902","BOOKER T WASHINGTON EL","011","ELGIN ISD","13","BASTROP","E","KG - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"011902102","011902","ELGIN EL","011","ELGIN ISD","13","BASTROP","E","EE - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"011902103","011902","NEIDIG EL","011","ELGIN ISD","13","BASTROP","E","KG - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"011904002","011904","SMITHVILLE H S","011","SMITHVILLE ISD","13","BASTROP","S","09 - 12","N","N"," "," ","M","0","1","1","0","1","0","0"
"011904041","011904","SMITHVILLE J H","011","SMITHVILLE ISD","13","BASTROP","M","06 - 08","N","N"," "," ","M","0","0","0","1","1","1","0"
"011904101","011904","SMITHVILLE EL","011","SMITHVILLE ISD","13","BASTROP","E","03 - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"011904102","011904","BROWN PRI","011","SMITHVILLE ISD","13","BASTROP","E","EE - 02","N","N","011904101","SMITHVILLE EL","M"," "," "," "," "," "," "," "
"011905101","011905","MCDADE ISD","011","MCDADE ISD","13","BASTROP","E","PK - 08","N","N"," "," ","M","0","1","0","0","0","0","1"
"012901001","012901","SEYMOUR H S","012","SEYMOUR ISD","09","BAYLOR","S","09 - 12","N","N"," "," ","M","0","0","0","0","0","0","1"
"012901042","012901","SEYMOUR MIDDLE","012","SEYMOUR ISD","09","BAYLOR","M","05 - 08","N","N"," "," ","M","1","1","1","1","1","1","1"
"012901101","012901","SEYMOUR EL","012","SEYMOUR ISD","09","BAYLOR","E","EE - 04","N","N"," "," ","M","0","1","0","0"," "," ","1"
"013801101","013801","ST MARY'S ACADEMY CHARTER SCHOOL","013","ST MARY'S ACADEMY CHARTER SCHOOL","02","BEE","E","KG - 06","N","Y"," "," ","M","0","1","1","0","0"," ","1"
"013901001","013901","A C JONES H S","013","BEEVILLE ISD","02","BEE","S","09 - 12","N","N"," "," ","M","0","0","0","0","0","0","0"
"013901041","013901","MORENO J H","013","BEEVILLE ISD","02","BEE","M","07 - 08","N","N"," "," ","M","0","0","0","0","0","0","0"
"013901101","013901","R A HALL EL","013","BEEVILLE ISD","02","BEE","E","03 - 04","N","N"," "," ","M","0","0","0","0"," "," ","0"
"013901102","013901","FADDEN-MCKEOWN-CHAMBLISS EL","013","BEEVILLE ISD","02","BEE","E","01 - 02","N","N","013901101","R A HALL EL","M"," "," "," "," "," "," "," "
"013901104","013901","THOMAS JEFFERSON INT","013","BEEVILLE ISD","02","BEE","M","05 - 06","N","N"," "," ","I","0","0","0","0","0"," ","0"
"013901105","013901","HAMPTON-MORENO-DUGAT EARLY CHILDHO","013","BEEVILLE ISD","02","BEE","E","EE - KG","N","N","013901101","R A HALL EL","M"," "," "," "," "," "," "," "
"013902101","013902","PAWNEE EL / J H","013","PAWNEE ISD","02","BEE","E","PK - 08","N","N"," "," ","M","0","0","1","0","0","0","1"
"013903001","013903","PETTUS SECONDARY","013","PETTUS ISD","02","BEE","B","06 - 12","N","N"," "," ","I","0","0","0","0","0","0","0"
"013903101","013903","PETTUS EL","013","PETTUS ISD","02","BEE","E","PK - 05","N","N"," "," ","M","0","0","0","0","0"," ","1"
