DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPE0312P,DD2S,DDALLS
"011905","MCDADE ISD","011","BASTROP","13","REGION 13: AUSTIN","C","B","C","D","C","C",80,63,74,75,89,206,375,70,0,0,282,23.7,18.7,0,0,75.2,74,79
"012901","SEYMOUR ISD","012","BAYLOR","09","REGION 09: WICHITA FALLS","B","B","B","C","B","B",89,71,88,83,8,352,593,131,0,0,427,1.3,22.1,0,0,72,88,87
"013801","ST MARY'S ACADEMY CHARTER SCHOOL","013","BEE","02","REGION 02: CORPUS CHRISTI","B","C","B","C","B","C",76,75,84,76,11,236,282,37,0,0,160,3.9,13.1,0,0,56.7,84,82
"013901","BEEVILLE ISD","013","BEE","02","REGION 02: CORPUS CHRISTI","C","C","C","D","C","C",70,65,76,72,78,2492,3012,514,76,0,2293,2.6,17.1,2.5,0,76.1,76,75
"013902","PAWNEE ISD","013","BEE","02","REGION 02: CORPUS CHRISTI","B","C","B","B","C","C",72,86,78,73,57,524,630,52,0,0,116,9,8.3,0,0,18.4,86,82
"013903","PETTUS ISD","013","BEE","02","REGION 02: CORPUS CHRISTI","B","B","B","D","B","B",83,64,82,84,4,257,377,55,0,0,285,1.1,14.6,0,0,75.6,82,83
"013905","SKIDMORE-TYNAN ISD","013","BEE","02","REGION 02: CORPUS CHRISTI","B","B","B","B","B","B",82,85,88,89,23,560,774,130,0,54,590,3,16.8,0,7,76.2,88,88
"014801","RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN)","014","BELL","20","REGION 20: SAN ANTONIO","C","C","D","D","D","C",77,62,64,70,218,1066,1602,233,0,0,1602,13.6,14.5,0,0,100,64,75
"014803","PRIORITY CHARTER SCHOOLS","014","BELL","12","REGION 12: WACO","B","B","C","D","C","C",82,62,78,79,27,299,504,87,0,0,311,5.4,17.3,0,0,61.7,78,81
"014804","ORENDA CHARTER SCHOOL","014","BELL","12","REGION 12: WACO","A","A","B","B","B","A",94,80,84,95,192,256,1984,289,0,0,1555,9.7,14.6,0,0,78.4,84,94
"014901","ACADEMY ISD","014","BELL","12","REGION 12: WACO","B","B","B","B","C","B",82,80,74,81,114,680,1820,304,0,0,1406,6.3,16.7,0,0,77.3,80,82
"014902","BARTLETT ISD","014","BELL","13","REGION 13: AUSTIN","C","C","C","F","C","C",72,56,70,78,107,388,391,52,0,0,297,27.4,13.3,0,0,76,70,74
"014903","BELTON ISD","014","BELL","12","REGION 12: WACO","B","B","C","C","C","B",80,76,73,81,1102,5739,13654,2682,0,0,10520,8.1,19.6,0,0,77,76,80
"014905","HOLLAND ISD","014","BELL","12","REGION 12: WACO","A","A","B","B","B","A",90,85,84,91,29,235,646,96,0,0,474,4.5,14.9,0,0,73.4,85,90
