CAMPUS,CAMPNAME,DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,C_RATING,CD1G,CD2G,CD2AG,CD2BG,CD3G,CPETALLC,CPE0312C,GRDTYPE,GRDSPAN,CPETECOP,CFLDAEP,CFLJJ,CFLPAIRD,CFLALTED,CFLRTF,PAIRCAMP,CFLPAIRO,CFLPAIR,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD2A,CD2AS,CD2BS,CD2B,CD3,CD3S,CD1S,CD2S,CDALLS,CPETECHC,CPETPTEC,CPEMALLC,CPEMALLT,CPEMALLP,CPETECOC,CPETSPEC,GRDLOW,GRDHIGH,CPETLEPC,CPETLEPP,CPETSPEP,CPETECHP,CPETPTEP,CPE0312P,CFLCHART,CFLEEK,CFLNEWCAMP,CFLAEC,PAIRNAME,CFLAEATYPE,LAS_SCORE,LAS_WEIGHT
"003903124","DUNBAR PRI","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","B","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",268,0,"E","KG - 02",86.9,"N","N","N","N","N","003903121","N","Y",,,,,,,,,,,,,,,87,0,0,36,247,14.6,233,18,"KG","02",18,6.7,6.7,0,0,0,"N","N","N","N","BRANDON EL"," ",,
"003903125","GARRETT PRI","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","B","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",344,0,"E","PK - PK",100,"N","N","Y","N","N","003903000","N","Y",,,,,,,,,,,,,,,80,0,0,,,,344,10,"PK","PK",106,30.8,2.9,0,0,0,"N","Y","N","N","LUFKIN ISD"," ",,
"003903127","HERTY PRI","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","D","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",276,0,"E","EE - 02",94.9,"N","N","N","N","N","003903123","N","Y",,,,,,,,,,,,,,,67,0,0,31,195,15.9,262,117,"EE","02",37,13.4,42.4,0,0,0,"N","N","N","N","COSTON EL"," ",,
"003903128","KURTH PRI","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",253,0,"E","PK - 02",83,"N","N","N","N","N","003903120","N","Y",,,,,,,,,,,,,,,75,0,0,44,174,25.3,210,33,"PK","02",15,5.9,13,0,0,0,"N","N","N","N","ANDERSON EL"," ",,
"003903129","SLACK EL","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","B","C","C","C","C","B",408,408,"E","03 - 05",87,"N","N","N","N","N"," ","Y","N",43,72,,,,,70,79,79,,68,86,72,79,81,0,0,51,506,10.1,355,47,"03","05",207,50.7,11.5,0,0,100,"N","N","N","N"," "," ",,
"003903130","TROUT PRI","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",219,0,"E","EE - 02",92.7,"N","N","N","N","N","003903122","N","Y",,,,,,,,,,,,,,,75,0,0,36,204,17.6,203,29,"EE","02",16,7.3,13.2,0,0,0,"N","N","N","N","BROOKHOLLOW EL"," ",,
"003903131","BURLEY PRI","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","B","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",426,0,"E","KG - 02",82.6,"N","N","N","N","N","003903129","N","Y",,,,,,,,,,,,,,,81,0,0,35,249,14.1,352,27,"KG","02",227,53.3,6.3,0,0,0,"N","N","N","N","SLACK EL"," ",,
"003903201","JUVENILE DETENT CTR","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",9,9,"B","05 - 11",88.9,"N","N","N","N","Y"," ","N","N",,,,,,,,,,,,,,,,0,0,66,66,100,8,2,"05","11",1,11.1,22.2,0,0,100,"N","N","N","N"," "," ",,
"003904001","HUNTINGTON H S","003904","HUNTINGTON ISD","003","ANGELINA","07","REGION 07: KILGORE","A","A","B","C","B","B",485,485,"S","09 - 12",41,"N","N","N","N","N"," ","N","N",53,80,100,100,100,100,70,74,89,,70,87,92,89,91,0,0,75,546,13.7,199,97,"09","12",10,2.1,20,0,0,100,"N","N","N","N"," "," ",,
"003904005","PRIDE ALTER SCH","003904","HUNTINGTON ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","Not Rated","Not Rated","Not Rated","Not Rated",12,12,"S","10 - 12",33.3,"N","N","N","Y","N"," ","N","N",38,88,24,75,100,100,,,,,,,85,,85,0,0,26,26,100,4,2,"10","12",0,0,16.7,0,0,100,"N","N","N","Y"," ","DROPOUT RECOVERY SCHOOL",,
"003904041","HUNTINGTON MIDDLE","003904","HUNTINGTON ISD","003","ANGELINA","07","REGION 07: KILGORE","C","B","C","C","C","C",339,339,"M","06 - 08",46,"N","N","N","N","N"," ","N","N",49,80,,,,,65,76,77,,35,70,80,77,77,0,0,49,371,13.2,156,70,"06","08",3,0.9,20.6,0,0,100,"N","N","N","N"," "," ",,
"003904101","HUNTINGTON EL","003904","HUNTINGTON ISD","003","ANGELINA","07","REGION 07: KILGORE","D","D","F","Not Rated","F","D",487,94,"E","EE - 03",57.7,"N","N","N","N","N"," ","N","N",39,67,,,,,,,59,,18,63,67,59,66,0,0,49,328,14.9,281,116,"EE","03",3,0.6,23.8,0,0,19.3,"N","N","N","N"," "," ",,
